"pri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date","Name","Event ID","Legacy Id","Event Status","Partner","Engagement Activity Type","Venue Name","Street Address","City","State","Zip","NN2 Venue Market","NN2 Consortia Partner Target Market","Event Recap Type Id","Collaboration Partner(s)","Digital Recap | Digital Event Engagement","Digital Recap | # of Digital Event Attendees","Digital Recap | TWITTER","Digital Recap | # of Tweets","Digital Recap | Twitter Impressions","Digital Recap | Twitter Engagement","Digital Recap | FACEBOOK","Digital Recap | # of Facebook posts","Digital Recap | Facebook Reach","Digital Recap | Facebook Engagement","Digital Recap | INSTAGRAM","Digital Recap | # of Instagram posts","Digital Recap | Instagram Reach","Digital Recap | Instagram Impressions","Digital Recap | Instagram Engagement","Digital Recap | TWITTER CHAT","Digital Recap | # of Twitter Chat Attendees","Digital Recap | Twitter Chat Engagement","Digital Recap | FACEBOOK LIVE","Digital Recap | # of Facebook Live Attendees","Digital Recap | Facebook Live Engagement","Digital Recap | WhatsApp Reach","Digital Recap | LinkedIn Reach","Digital Recap | Blog Engagement","Digital Recap | Google Analytics Page Views","Digital Recap | Target/Primary Population","In-Person Recap | Est # of attendees","In-Person Recap | Est # of  Engagement","In-Person Recap | Reach of Tactic","In-Person Recap | Target/Primary Population","Hybrid Recap | Est # of attendees","Hybrid Recap | # of In-Person Attendees","Hybrid Recap | # of Virtual Attendees","Hybrid Recap | Est # of Engagement","Hybrid Recap | Target/Primary Population","Hybrid Recap | Most Resonating Messages","Non-Digital Non-Event Recap | Reach","Non-Digital Non-Event Recap | If printed, how many were distributed?","Admin Recap | Accomplishments","Hybrid Recap | Concerns","Admin Recap | Barriers to participation","Admin Recap | Concerns expressed","Admin Recap | Challenges","Admin Recap | Lessons Learned","Admin Recap | Governance Activities Summary","Admin Recap | Best-resonating message","Admin Recap | Other notes","Partners | Digital - CPGI","Partners | Digital - CEP","Partners | Digital - FQHC","Partners | Digital - DV","Partners | In-Person - CPGI","Partners | In-Person - CEP","Partners | In-Person - DV","Partners | In-Person - HPO","Partners | In-Person - FQHC","Partners | Hybrid - CPGI","Partners | Hybrid - CEP","Partners | Hybrid - DV","Partners | Hybrid - HPO","Partners | Hybrid - FQHC","Partners | NonDig NonEvent - CPGI","Partners | NonDig NonEvent - CEP","Partners | NonDig NonEvent - DV","Partners | NonDig NonEvent - HPO","Partners | NonDig NonEvent - FQHC","Legacy | Organization Name","Legacy Recap | Est # of attendees","Legacy Recap | Est # of Engagement 1","Legacy Recap | Est # of Engagement 2","Legacy Recap | Name of Organization","Legacy Recap | YOUTUBE","Legacy Recap | # of YouTube videos","Legacy Recap | YouTube Reach","Legacy Recap | YouTube Engagement","Legacy Recap | TWITTER","Legacy Recap | # of Tweets","Legacy Recap | Twitter Impressions","Legacy Recap | Twitter Engagement","Legacy Recap | FACEBOOK","Legacy Recap | # of Facebook posts","Legacy Recap | Facebook Reach","Legacy Recap | Facebook Engagement","Legacy Recap | INSTAGRAM","Legacy Recap | # of Instagram posts","Legacy Recap | Instagram Reach","Legacy Recap | Instagram Impressions","Legacy Recap | Instagram Engagement","Legacy Recap | Instagram Exp Audience Reach","Legacy Recap | Target/Primary Population","Legacy Recap | Accomplishments","Legacy Recap | Challenges","Legacy Recap | Lessons Learned","Legacy Recap | Best-resonating Messages","Legacy Recap | Governance Activities Summary","Legacy Recap | Concerns Expressed","Legacy Recap | Barriers to Participation","Legacy Recap | Tactics and strategies","Legacy Recap | Other Notes","Digital Recap | CTA","Digital Recap | CTA Text 1","Digital Recap | CTA Text 2","Digital Recap | CTA Text 3","Digital Recap | CTA Text 4","Hybrid Recap | CTA","Hybrid Recap | CTA Text 1","Hybrid Recap | CTA Text 2","Hybrid Recap | CTA Text 3","Hybrid Recap | CTA Text 4","In-Person Recap | CTA","In-Person Recap | CTA Text 1","In-Person Recap | CTA Text 2","In-Person Recap | CTA Text 3","In-Person Recap | CTA Text 4","Non-Digital Non-Event Recap | CTA","Non-Digital Non-Event Recap | CTA Text 1","Non-Digital Non-Event Recap | CTA Text 2","Non-Digital Non-Event Recap | CTA Text 3","Non-Digital Non-Event Recap | CTA Text 4","Research Facing 1","Research Facing 2"
"06/01/2022","AAPA / Meter Board Sign at AAPA 2022 Conference","20,144","0","Scheduled","CPGI","Modular Exhibit Panels","Indianapolis Convention Center (you must add id from venues_profiles for this to link)","100 S Capitol Ave","Indianapolis","IN                                                                                                                                                                                                      ","46225","Indiana","Not a target market","0","","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"," "
"06/01/2022","AAPA / AAPA Conference 2022 - digital ad","13,961","470,836","Scheduled","CPGI","Other Digital","East Coast Time Zone (you must add id from venues_profiles for this to link)","","","                                                                                                                                                                                                        ","02118","Digital, Non-Event (social, digital advertising)","Not a target market","0","","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","American Academy of Physician Assistants","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"," "
"06/01/2022","Black Greek Letter Consortium /  Rooted in Resilience Tour - 3","15,298","470,935","Scheduled","In-Person Event","Community Event","NPHC Headquarters (you must add id from venues_profiles for this to link)","3951 Snapfinger Suite 218","Decatur","TX                                                                                                                                                                                                      ","30035","District of Columbia","","0","","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black Greek Letter Consortium (BGLC)","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "
"06/02/2022","MS State Extension - Newspaper Ad #1","20,506","0","Scheduled","CPGI","Printed Collateral Distribution","Mississippi State University Extension Service (you must add id from venues_profiles for this to link)","1 Research Blvd","Starkville","MS","39759","Mississippi","Mississippi","0","","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"," "
"06/02/2022","FiftyForward/ MEA Journey Bus","20,394","0","Scheduled","CEP","Booth/Tabling","Plaza Mariachi (you must add id from venues_profiles for this to link)","3955 Nolensville Pike","Nashville","TN","37211","Tennessee","Not a target market","0","National Alliance for Hispanic Health and American Association for Health and Disability","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FiftyForward","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"," "
"06/02/2022","Southern University at Shreveport/Men's Health Discussion Forum","20,340","0","Scheduled","CPGI","Events","Southern University at Shreveport (you must add id from venues_profiles for this to link)","3050 Martin Luther King","Shreveport","LA                                                                                                                                                                                                      ","71107","Louisiana Regional Market - Shreveport","Shreveport, LA","0","","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"," "
"06/03/2022","FiftyForward/ Aging Well with Dr. Amy Price Neff- Supplements at 50+","20,416","0","Scheduled","CEP","Other Digital","FiftyForward Knowles Center (you must add id from venues_profiles for this to link)","174 Rains Avenue","Nashville","TN                                                                                                                                                                                                      ","37203","Tennessee ","Not a target market","0","","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"," "
"06/03/2022","FiftyForward/ MEA Journey Bus","20,395","0","Scheduled","CEP","Booth/Tabling","Plaza Mariachi (you must add id from venues_profiles for this to link)","3955 Nolensville Pike","Nashville","TN","37211","Tennessee","Not a target market","0","National Alliance for Hispanic Health and American Association for Health and Disability","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FiftyForward","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"," "
"06/03/2022","AAPA / Ad Placement - Digital Newsletter","18,553","472,941","Scheduled","CPGI","Digital Collateral Distribution (email, newsletters, flyers)","East Coast Time Zone (you must add id from venues_profiles for this to link)","","","                                                                                                                                                                                                        ","02118","Digital, Non-Event (social, digital advertising)","Not a target market","0","","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","American Academy of Physician Assistants","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","No"
"06/03/2022","AAPA / Ad Placement - Digital Newsletter","19,627","0","Scheduled","CPGI","CPGI Other","Digital Event (you must add id from venues_profiles for this to link)","2318 Mill Rd","Alexandria","VA","22332","Digital, Non-Event (social, digital advertising)","","0","","0","0","","0","0","0","","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","0","0","0","","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"," "
