Date,Name,Event ID,Legacy Id,Event Status,Partner,Engagement Activity Type,Venue Name,Street Address,City,State,Zip,NN2 Venue Market,NN2 Consortia Partner Target Market,Event Recap Type Id,Collaboration Partner(s),Digital Recap | Digital Event Engagement,Digital Recap | # of Digital Event Attendees,Digital Recap | TWITTER,Digital Recap | # of Tweets,Digital Recap | Twitter Impressions,Digital Recap | Twitter Engagement,Digital Recap | FACEBOOK,Digital Recap | # of Facebook posts,Digital Recap | Facebook Reach,Digital Recap | Facebook Engagement,Digital Recap | INSTAGRAM,Digital Recap | # of Instagram posts,Digital Recap | Instagram Reach,Digital Recap | Instagram Impressions,Digital Recap | Instagram Engagement,Digital Recap | TWITTER CHAT,Digital Recap | # of Twitter Chat Attendees,Digital Recap | Twitter Chat Engagement,Digital Recap | FACEBOOK LIVE,Digital Recap | # of Facebook Live Attendees,Digital Recap | Facebook Live Engagement,Digital Recap | WhatsApp Reach,Digital Recap | LinkedIn Reach,Digital Recap | Blog Engagement,Digital Recap | Google Analytics Page Views,Digital Recap | Target/Primary Population,In-Person Recap | Est # of attendees,In-Person Recap | Est # of  Engagement,In-Person Recap | Reach of Tactic,In-Person Recap | Target/Primary Population,Hybrid Recap | Est # of attendees,Hybrid Recap | # of In-Person Attendees,Hybrid Recap | # of Virtual Attendees,Hybrid Recap | Est # of Engagement,Hybrid Recap | Target/Primary Population,Hybrid Recap | Most Resonating Messages,Non-Digital Non-Event Recap | Reach,"Non-Digital Non-Event Recap | If printed, how many were distributed?",Admin Recap | Accomplishments,Hybrid Recap | Concerns,Admin Recap | Barriers to participation,Admin Recap | Concerns expressed,Admin Recap | Challenges,Admin Recap | Lessons Learned,Admin Recap | Governance Activities Summary,Admin Recap | Best-resonating message,Admin Recap | Other notes,Partners | Digital - CPGI,Partners | Digital - CEP,Partners | Digital - FQHC,Partners | Digital - DV,Partners | In-Person - CPGI,Partners | In-Person - CEP,Partners | In-Person - DV,Partners | In-Person - HPO,Partners | In-Person - FQHC,Partners | Hybrid - CPGI,Partners | Hybrid - CEP,Partners | Hybrid - DV,Partners | Hybrid - HPO,Partners | Hybrid - FQHC,Partners | NonDig NonEvent - CPGI,Partners | NonDig NonEvent - CEP,Partners | NonDig NonEvent - DV,Partners | NonDig NonEvent - HPO,Partners | NonDig NonEvent - FQHC,Legacy | Organization Name,Legacy Recap | Est # of attendees,Legacy Recap | Est # of Engagement 1,Legacy Recap | Est # of Engagement 2,Legacy Recap | Name of Organization,Legacy Recap | YOUTUBE,Legacy Recap | # of YouTube videos,Legacy Recap | YouTube Reach,Legacy Recap | YouTube Engagement,Legacy Recap | TWITTER,Legacy Recap | # of Tweets,Legacy Recap | Twitter Impressions,Legacy Recap | Twitter Engagement,Legacy Recap | FACEBOOK,Legacy Recap | # of Facebook posts,Legacy Recap | Facebook Reach,Legacy Recap | Facebook Engagement,Legacy Recap | INSTAGRAM,Legacy Recap | # of Instagram posts,Legacy Recap | Instagram Reach,Legacy Recap | Instagram Impressions,Legacy Recap | Instagram Engagement,Legacy Recap | Instagram Exp Audience Reach,Legacy Recap | Target/Primary Population,Legacy Recap | Accomplishments,Legacy Recap | Challenges,Legacy Recap | Lessons Learned,Legacy Recap | Best-resonating Messages,Legacy Recap | Governance Activities Summary,Legacy Recap | Concerns Expressed,Legacy Recap | Barriers to Participation,Legacy Recap | Tactics and strategies,Legacy Recap | Other Notes,Digital Recap | CTA,Digital Recap | CTA Text 1,Digital Recap | CTA Text 2,Digital Recap | CTA Text 3,Digital Recap | CTA Text 4,Hybrid Recap | CTA,Hybrid Recap | CTA Text 1,Hybrid Recap | CTA Text 2,Hybrid Recap | CTA Text 3,Hybrid Recap | CTA Text 4,In-Person Recap | CTA,In-Person Recap | CTA Text 1,In-Person Recap | CTA Text 2,In-Person Recap | CTA Text 3,In-Person Recap | CTA Text 4,Non-Digital Non-Event Recap | CTA,Non-Digital Non-Event Recap | CTA Text 1,Non-Digital Non-Event Recap | CTA Text 2,Non-Digital Non-Event Recap | CTA Text 3,Non-Digital Non-Event Recap | CTA Text 4,Research Facing,TYPE,sum,Recap Type Submitted,#-Total Social Media Posts,#-Total Social Media Impressions,#-Total Social Media Engagement,#-Total Social Media Reach,#-Total Digital Attendees,#-Total Digital Engagement,#-Total Attendees,#-Total Engagement,#-Total Reach,#-Total Page Views,#-Total Material Distributed,Target Population,Partners Recapped,CTA,CTA Text,Accomplishments,Challenges,Lessons Learned,Barriers to Participation,Best-resonating message,Concerns expressed,Other notes,Governance Activities Summary
2022-01-31,Asian Health Coalition (PNAAF) - Social Media Summary January,19654,,Finished,CEP,Social Media,Digital,National Digital,New York,NY,10128,New York,,4,,0,0,,0,0,0,,4,2937,293,,0,0,0,0,,0,0,,0,0,0,0,0,0,Asian,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#joinallofus #allofusarc,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,3234,Digital,4,0,293,2937,0,0,0,0,0,0,0,Asian,Asian Health Coalition,Hashtag,#joinallofus #allofusarc,,,,,,,,
2022-02-10,Asian Health Coalition (LTSC) - Asian American Community Video,19645,,Finished,CEP,Social Media,Digital,Digital,Digital,CA,Digital,California,,4,,0,0,,0,0,0,,1,480,40,,1,177,0,16,,0,0,,0,0,0,0,0,0,Asian,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#joinallofus,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,715,Digital,2,0,56,657,0,0,0,0,0,0,0,Asian,Asian Health Coalition,Hashtag,#joinallofus,,,,,,,,
2022-02-19,Asian Health Coalition (OCAPICA) - Social Media Summary February,19647,,Finished,CEP,Social Media,Digital,Digital,Digital,CA,Digital,California,,4,,0,0,,0,0,0,,0,0,0,,9,2785,0,195,,0,0,,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI)",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#AllOfUsResearchProgram #AoURP #OneInAMillion #PrecisionMedicine #Research #Diversity #Inclusion #Family #Health #Community #AAPI #NHPI,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,2989,Digital,9,0,195,2785,0,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI)",Asian Health Coalition,Hashtag,#AllOfUsResearchProgram #AoURP #OneInAMillion #PrecisionMedicine #Research #Diversity #Inclusion #Family #Health #Community #AAPI #NHPI,,,,,,,,
2022-02-28,Asian Health Coalition (Xilin) - Social Media Summary February,19619,,Finished,CEP,Social Media,Central Time Zone,Digital,Chicago,IL,,Illinois,"Chicago, IL",4,,0,0,,0,0,0,,1,2873,1,,0,0,0,0,,0,0,,0,0,0,0,0,0,"Asian, Older Adults",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#allofusarc,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,2875,Digital,1,0,1,2873,0,0,0,0,0,0,0,"Asian, Older Adults",Asian Health Coalition,Hashtag,#allofusarc,,,,,,,,
2022-02-28,Asian Health Coalition (SAAPRI) - Social Media Summary February,20083,,Finished,CEP,Social Media,Digital,Digital,Digital,IL,60613,"Chicago, IL / Target Market","Chicago, IL",4,,0,0,,14,1175,58,,5,321,29,,4,431,431,14,,0,0,,0,0,707,0,0,0,Asian,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#joinallfofus #allofusarc,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,3189,Digital,23,1606,101,1459,0,0,0,0,0,0,0,Asian,Asian Health Coalition,Hashtag,#joinallfofus #allofusarc,,,,,,,,
2022-02-28,Asian Health Coalition (VACF) - Social Media Summary February,19642,,Finished,CEP,Social Media,Digital,Digital,Digital,CA,Digital,California,,4,,0,0,,0,0,0,,1,469,18,,1,22,2,0,,0,0,,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI)",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#JoinAllOfUs #AllOfUsNHPI #ResearchMatters #AoURP #Health #HealthResearch #PrecisionMedicine #HealthIsWealth #HeartWork,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,513,Digital,2,2,18,491,0,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI)",Asian Health Coalition,Hashtag,#JoinAllOfUs #AllOfUsNHPI #ResearchMatters #AoURP #Health #HealthResearch #PrecisionMedicine #HealthIsWealth #HeartWork,,,,,,,,
2022-02-28,Asian Health Coalition (VACCEB) Social Media Summary February,19640,,Finished,CEP,Social Media,Digital,Digital,Digital,CA,Digital,California,,4,,0,0,,0,0,0,,1,65,73,,1,43,63,0,,0,0,,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI)",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,"#joinallofus, #allofusarc",,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,246,Digital,2,63,73,108,0,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI)",Asian Health Coalition,Hashtag,"#joinallofus, #allofusarc",,,,,,,,
2022-03-22,UnidosUS / LAMDA Test Activity 1,10605,,Recapped,CPGI,Social Media,WhatsApp,6112 W Cermak Rd,Cicero,IL,60804,Illinois,"Chicago, IL",4,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,,0,0,40,0,0,0,"Hispanic, Latino or Spanish (H/L/S)",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,The Latino Alzheimer’s and Memory Disorders Alliance (UnidosUS),,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,40,Digital,0,0,0,40,0,0,0,0,0,0,0,"Hispanic, Latino or Spanish (H/L/S)",The Latino Alzheimer’s and Memory Disorders Alliance (UnidosUS),,,,,,,,,,
2022-03-22,Asian Health Coalition (OCAPICA) - March Social Media,20022,,Finished,CEP,Social Media,Digital,Digital,Digital,CA,Digital,California,Not a target market,4,,0,0,,0,0,0,,0,0,0,,1,403,467,467,,0,0,,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI)",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#joinallofus #allofusarc,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,1338,Digital,1,467,467,403,0,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI)",Asian Health Coalition,Hashtag,#joinallofus #allofusarc,,,,,,,,
2022-03-29,Social Media 2 March 2022,10560,,Recapped,CPGI,Social Media,Portneuf Wellness Complex,10588 Fairgrounds,Pocatello,ID,83202,Idaho,,4,,0,0,,0,0,0,,14,58,63,,0,0,0,0,,0,0,,0,0,0,0,0,0,"Middle Eastern or North African (MENA), Rural",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,Arab Community Center for Economic and Social Services (ACCESS),,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,SOCIAL MEDIA,135,Digital,14,0,63,58,0,0,0,0,0,0,0,"Middle Eastern or North African (MENA), Rural",Arab Community Center for Economic and Social Services (ACCESS),,,,,,,,,,
